feature	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae
S1	-6.09926585710291	-2.79446385028344	-8.96536452147777	-1.48257490524807	-2.41664769112918	-6.30793234917286	-7.47993759128786	-1.54383518688966	-9.99198935500948	-7.75803945737828	-5.64081574213663	-5.80714503096872	-6.43384132734037
S2	-10.1129863918433	-2.42524206506414	-13.3242382555746	-1.42025521004134	-2.70313939331946	-13.7417440104442	-12.7221152036952	-2.71774908564586	-8.06311599368201	-11.5349637881423	-12.468044196053	-5.46988596958036	-8.6731697799815
S3	-7.52094603381851	-4.41122330489405	-13.3242382555746	-2.95616139264273	-2.01315137032531	-13.7417440104442	-12.7221152036952	-3.91608395388088	-11.2468199489025	-11.5349637881423	-12.468044196053	-4.46205231296794	-11.9485749946299
S4	-7.77835286789081	-1.18103302387324	-5.1498424905699	-1.0911746163641	-5.77835270952477	-4.83228598250762	-8.36099037074956	-1.97307691711709	-8.42512064348749	-6.43242527042209	-11.468044196053	-3.20957526480404	-4.9991947162102
S5	-6.94353899493817	-2.10598763174361	-10.543551283979	-0.819668751233133	-2.49208782026595	-9.92960029573359	-7.63003950824814	-3.20429912517445	-7.42058613489517	-7.17882833925804	-9.92960029573359	-3.67584324395624	-6.15025926903544
S6	-11.2591432273527	-0.13677176178502	-13.3242382555746	-3.64790019018347	-6.60632102560303	-13.7417440104442	-11.2591432273527	-3.5940774836983	-11.2468199489025	-11.5349637881423	-11.2591432273527	-0.307321261034552	-9.02135833746269
S7	-9.52768309533928	-3.58109677211997	-4.62079218027249	-0.604172829491971	-4.68726372028764	-6.56940994211409	-10.7172494485234	-2.95410201459261	-7.2364514427212	-8.05679196368899	-9.80598332890535	-7.10790736632387	-3.84487294390617
S8	-5.85798102109608	-3.9337083317266	-13.3242382555746	-1.19199914250661	-5.99548453647839	-13.7417440104442	-12.7221152036952	-4.95986062899264	-6.92509521297003	-11.5349637881423	-8.73245022268854	-6.56252515306553	-6.92509521297003
S9	-7.96520696150106	-2.43961111775739	-8.62417021444312	-1.31319870466366	-5.43746946076394	-13.7417440104442	-10.0642898296145	-3.88625574597156	-8.41266613512473	-9.1716579221676	-9.06474248053936	-1.33682231022108	-8.34853564807815
S10	-7.98877149057334	-0.354293924355862	-9.52666544717904	-2.36187065315368	-6.33435482125094	-13.7417440104442	-8.25475331760142	-4.35140741765397	-9.505449559346	-10.111389606909	-10.2644570272491	-0.541667304517127	-8.26809096297605
S11	-7.0239919174654	-4.82124509202329	-13.3242382555746	-3.00734277848089	-0.487328393971634	-13.7417440104442	-12.7221152036952	-4.52665327647022	-10.2468199489025	-10.3982388370183	-7.04998710892911	-8.15327496961567	-7.40508204552197
S12	-9.13485402150605	-0.503070745816947	-13.3242382555746	-2.6919106095575	-5.36226457695315	-13.7417440104442	-12.7221152036952	-0.658445409266674	-6.6323538241007	-5.76562029032759	-12.468044196053	-10.7347341058539	-5.09046000045487
S13	-12.7221152036952	-1.66921832591489	-13.3242382555746	-0.768061891464705	-8.10939531099926	-8.23492612064234	-12.7221152036952	-3.16688087692289	-11.2468199489025	-8.69435801093256	-12.468044196053	-3.48490451608492	-5.00785733869195
S14	-12.7221152036952	-1.44149352832331	-5.25867185381644	-0.813375053936991	-6.22969283172085	-9.68912445035815	-12.7221152036952	-1.80686347740634	-7.22969272345315	-7.34927437395842	-12.468044196053	-6.93423681586749	-4.91433735269025
S15	-11.156781509723	-2.31123287285868	-6.09887432887115	-0.541729730286643	-3.4366687917266	-12.7417440104442	-12.7221152036952	-2.63202967607421	-8.54633330584237	-9.74273002423435	-7.90142805770195	-8.17794564917479	-6.00126347679669
S16	-10.2680104651069	-0.579737612523726	-8.42042820271241	-1.70923917009715	-5.845519280242	-10.5032083966199	-10.889909417687	-0.864028518724759	-11.2468199489025	-8.68346250968953	-5.17461133961326	-5.19803569311107	-4.91792778949449
S17	-6.17366160352071	-1.29783258989921	-8.76462282663821	-1.3027341625613	-2.63533980969324	-11.0860785183798	-6.78277011775038	-1.45173987530017	-9.91662612923799	-10.3866041365349	-7.61081737070648	-5.62302653225672	-10.2787235963222
S18	-5.28540219866452	-3.08823335162499	-8.17102408420165	-0.888105298000211	-3.80406234039025	-10.0689312117654	-6.42005173147507	-1.99330082511846	-8.03672314957492	-9.44111376122063	-4.99330083660655	-5.99719471371363	-6.58606172208478
