feature	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae
COL0105	-12.7205271638968	-2.92597021404775	-10.7529385724584	-0.78235283007792	-7.69404428589821	-8.63746078051287	-12.7205271638968	-1.79777256309289	-6.29350650116456	-9.33790013957556	-12.4695162505277	-4.57634935887489	-5.67968914673471
COL108v2	-12.7205271638968	-7.62877030678402	-13.3249338762445	-6.99489805964051	-0.0187212297850335	-13.7427324962936	-12.7205271638968	-7.62877030678402	-11.2463835251684	-11.534302526109	-12.4695162505277	-10.7347341058539	-11.9483668737964
COL0111	-8.63299501824878	-3.55617960787199	-13.3249338762445	-2.93950823783155	-3.50371218131093	-13.7427324962936	-12.7205271638968	-3.6217679404224	-11.2463835251684	-11.534302526109	-8.04803251752763	-10.7347341058539	-11.9483668737964
COL0114	-10.1429578922871	-1.94820109910467	-13.3249338762445	-0.50887297149344	-6.19186758417185	-13.7427324962936	-12.7205271638968	-2.5376019031443	-6.37036846796121	-9.09565238798705	-12.4695162505277	-7.4952596535712	-4.54403699680102
COL0117	-9.58608902738818	-1.17839651651313	-9.32305499117287	-1.5477188361097	-4.17330763740294	-13.7427324962936	-9.58608902738818	-5.55928911090313	-11.2463835251684	-11.534302526109	-9.00112689628551	-1.39972727355256	-11.9483668737964
COL0120	-8.94934002538784	-3.61586098709518	-9.03180231143372	-1.63042103770334	-2.2951021699351	-13.7427324962936	-12.7205271638968	-2.33708618654767	-7.3379057412088	-10.534302526109	-12.4695162505277	-5.42577841041317	-8.47540926495874
COL0123	-11.015880367715	-3.89544817817129	-13.3249338762445	-1.32297356910757	-4.376840454896	-13.7427324962936	-12.7205271638968	-2.40854930330009	-11.2463835251684	-11.534302526109	-12.4695162505277	-10.7347341058539	-11.9483668737964
COL0126	-9.38633088082402	-3.62785877143652	-12.3249338762445	-1.5885286517757	-4.42406378537023	-13.7427324962936	-12.7205271638968	-2.14585086941024	-11.2463835251684	-11.534302526109	-8.86549889306376	-9.26603722639229	-11.9483668737964
COL0129	-12.7205271638968	-3.2527125813963	-13.3249338762445	-1.50690705842471	-5.653442214559	-10.4863322650316	-12.7205271638968	-3.43104981396989	-8.90136976431042	-10.4863322650316	-12.4695162505277	-9.16440375623506	-7.02690064639428
COL0132	-12.7205271638968	-2.41934573443173	-8.54467680971142	-1.17835454648932	-1.53226024124561	-10.6398337978703	-12.7205271638968	-2.77396015339124	-8.57570381073754	-9.3988259639687	-12.4695162505277	-10.7347341058539	-5.67720084495487
COL0135	-12.7205271638968	-1.09294071972996	-13.3249338762445	-1.56592978194412	-5.60498255996641	-13.7427324962936	-12.7205271638968	-1.21434171319879	-7.26209484104209	-11.534302526109	-12.4695162505277	-8.37757216918888	-8.96253466991003
COL0138	-10.3872995788434	-1.55230166900042	-13.3249338762445	-0.726115073440523	-10.3872995788434	-13.7427324962936	-12.7205271638968	-1.5724498885405	-11.2463835251684	-11.534302526109	-12.4695162505277	-10.7347341058539	-11.9483668737964
COL0141	-12.7205271638968	-3.40407488317623	-13.3249338762445	-0.604067792763631	-6.88786078136054	-13.7427324962936	-12.7205271638968	-2.00380087157587	-11.2463835251684	-8.67445715179408	-12.4695162505277	-10.7347341058539	-5.40392815749297
COL188v2	-12.7205271638968	-3.96974742122481	-13.3249338762445	-0.323666185955528	-6.29936591376928	-13.7427324962936	-12.7205271638968	-2.62207155647106	-7.25045624511353	-8.3499918245183	-12.4695162505277	-10.7347341058539	-6.15734692309993
COL0144	-12.7205271638968	-1.12850924789741	-13.3249338762445	-1.04491941548504	-4.9033567320611	-13.7427324962936	-12.7205271638968	-1.56890917974377	-11.2463835251684	-7.67154114858483	-12.4695162505277	-3.7767233111266	-7.54225801398808
COL0147	-8.4889355143195	-3.15223674574663	-9.94836687379635	-1.53368199511795	-6.19347968838455	-13.7427324962936	-12.7205271638968	-1.73526301200111	-11.2463835251684	-8.62643934906204	-12.4695162505277	-6.59081521683254	-10.9483668737964
COL0153	-11.1959888532546	-2.8253216858454	-13.3249338762445	-1.1754702794055	-5.85021246284233	-3.26919715165426	-12.7205271638968	-2.9671686058591	-8.61102466025133	-8.7809498732288	-12.4695162505277	-1.94568887922671	-6.32151819690009
